AAPL, C, CHIC, CMG, COKE, DIS, F, FB, GOOG, TWTR, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
1000621.3593467473, 1100000.0, 1202260.5902544113, 899139.686145339, 1000060.0, 1101102.3804713925, 1100891.024603563, 1000777.189402531, 998910.5491958832, 997182.8482367945, 
997611.4134442692, 1100138.2199712305, 1202721.6962860262, 898743.7622688803, 1000120.0036, 1102412.6393117246, 1103923.126598487, 999808.6427861148, 998383.2447181188, 998138.9318932163, 
